Sampling date,Sample ID,Treatment,Plot,Rep,%N,%CP,Grass (g),Forb (g),ANPP (g),Note
9/26/22,JL33,endJL,3,3,1.3031,8.5,50.8,0,50.8,
9/26/22,JL34,endJL,3,4,1.807,11.8,33.5,0,33.5,
9/26/22,JL41,endJL,4,1,1.807,8.3,69.9,0,69.9,
9/26/22,JL42,endJL,4,2,1.807,9.2,62.5,0,62.5,
9/26/22,JL43,endJL,4,3,1.8225,11.8,70.3,0,70.3,
9/26/22,JL44,endJL,4,4,1.911,12.4,89.6,0,89.6,
9/26/22,C1,endJN,22,1,1.982,12.8,202.6,122.6,325.2,
9/26/22,C2,endJN,22,2,1.6802,10.8,295.7,32.5,328.2,
9/26/22,C3,endJN,22,3,1.3714,8.8,330.6,0,330.6,
9/26/22,C4,endJN,22,4,1.237,8,319,0,319,
9/26/22,C1,endJL,22,1,1.982,12.8,202.6,122.6,325.2,
9/26/22,C2,endJL,22,2,1.6802,10.8,295.7,32.5,328.2,
9/26/22,C3,endJL,22,3,1.3714,8.8,330.6,0,330.6,
9/26/22,C4,endJL,22,4,1.237,8,319,0,319,
9/26/22,C1,JN,22,1,1.982,12.8,202.6,122.6,325.2,
9/26/22,C2,JN,22,2,1.6802,10.8,295.7,32.5,328.2,
9/26/22,C3,JN,22,3,1.3714,8.8,330.6,0,330.6,
9/26/22,C4,JN,22,4,1.237,8,319,0,319,
9/26/22,C1,JL,22,1,1.982,12.8,202.6,122.6,325.2,
9/26/22,C2,JL,22,2,1.6802,10.8,295.7,32.5,328.2,
9/26/22,C3,JL,22,3,1.3714,8.8,330.6,0,330.6,
9/26/22,C4,JL,22,4,1.237,8,319,0,319,
